"mass_id","sn","dt","mg","note"
"496","133","2023-07-27 15:45:38","5462",
"497","134","2023-07-27 15:47:48","6295",
"498","135","2023-07-27 15:49:51","7405",
"499","73","2023-07-28 09:29:00","5683",
"680","214","2023-08-29 12:01:00","5537","forgot"
"681","214","2023-08-29 12:01:00","5537","forgot"
"682","19","2023-08-29 12:00:00","1691",
"683","19","2023-08-29 12:01:00","1983",
"684","31","2023-08-29 12:00:00","4391",
"685","31","2023-08-29 12:01:00","4533",
"686","41","2023-08-29 12:00:00","2872",
"687","41","2023-08-29 12:01:00","3120",
"688","42","2023-08-29 12:00:00","4384",
"689","42","2023-08-29 12:01:00","4621",
"690","54","2023-08-29 12:00:00","2938","laid eggs"
"691","54","2023-08-29 12:01:00","3335","laid eggs"
"692","58","2023-08-29 12:00:00","3058",
"693","58","2023-08-29 12:01:00","3409",
"694","59","2023-08-29 12:00:00","2668",
"695","59","2023-08-29 12:01:00","2935",
"696","62","2023-08-29 12:00:00","2815",
"697","62","2023-08-29 12:01:00","2998",
"698","83","2023-08-29 12:00:00","3288",
"699","83","2023-08-29 12:01:00","3666",
"700","86","2023-08-29 12:00:00","5459","forgot to pre-weigh before placing in the solution. removed "
"701","86","2023-08-29 12:01:00","5499","forgot to pre-weigh before placing in the solution. removed "
"702","92","2023-08-29 12:00:00","3746",
"703","92","2023-08-29 12:01:00","3963",
"704","105","2023-08-29 12:00:00","4976",
"705","105","2023-08-29 12:01:00","5085",
"706","110","2023-08-29 12:00:00","2870",
"707","110","2023-08-29 12:01:00","3075",
"708","119","2023-08-29 12:00:00","2948",
"709","119","2023-08-29 12:01:00","3135",
"710","120","2023-08-29 12:00:00","2559",
"711","120","2023-08-29 12:01:00","2832",
"712","121","2023-08-29 12:00:00","2415",
"713","121","2023-08-29 12:01:00","2683",
"714","126","2023-08-29 12:00:00","2945",
"715","126","2023-08-29 12:01:00","3082",
"716","127","2023-08-29 12:00:00","4840",
"717","127","2023-08-29 12:01:00","4973",
"718","128","2023-08-29 12:00:00","3123",
"719","128","2023-08-29 12:01:00","3309",
"720","129","2023-08-29 12:00:00","3034",
"721","129","2023-08-29 12:01:00","3464",
"722","134","2023-08-29 12:00:00","3592",
"723","134","2023-08-29 12:01:00","3725",
"724","136","2023-08-29 12:00:00","3799",
"725","136","2023-08-29 12:01:00","4128",
"726","144","2023-08-29 12:00:00","3214",
"727","144","2023-08-29 12:01:00","3392",
"728","147","2023-08-29 12:00:00","2641",
"729","147","2023-08-29 12:01:00","3095",
"730","149","2023-08-29 12:00:00","3706",
"731","149","2023-08-29 12:01:00","3871",
"732","150","2023-08-29 12:00:00","2616",
"733","150","2023-08-29 12:01:00","2774",
"734","151","2023-08-29 12:00:00","4846","forgot to pre-weigh before placing in the solution. removed "
"735","151","2023-08-29 12:01:00","5050","forgot to pre-weigh before placing in the solution. removed "
"736","166","2023-08-29 12:00:00","3913",
"737","166","2023-08-29 12:01:00","4083",
"738","169","2023-08-29 12:00:00","2669","forgot to pre-weigh before placing in the solution. removed "
"739","169","2023-08-29 12:01:00","2746","forgot to pre-weigh before placing in the solution. removed "
"740","171","2023-08-29 12:00:00","3790",
